id,table_id:id,name,description,element_char,element_float,element_percent,start_date,end_date
ciiu_160,pe_ciiu,50203,MANTENIMIENTO Y REPARAC. VEHICULOS.,,,,,
ciiu_161,pe_ciiu,50304,"VENTA PARTES, PIEZAS, ACCESORIOS.",,,,,
ciiu_162,pe_ciiu,50405,"VENTA, MANTEN. Y REPARAC. MOTOCICLETAS.",,,,,
ciiu_163,pe_ciiu,50506,VENTA AL POR MENOR COMBUSTIBLES.,,,,,
ciiu_164,pe_ciiu,51109,VTA.  MAY. A CAMBIO DE UNA RETRIBUCION.,,,,,
ciiu_165,pe_ciiu,51212,VTA.  MAY. DE MATERIAS PRIMAS AGROPEC.,,,,,
ciiu_166,pe_ciiu,51225,"VTA. MAY. ALIMENTOS, BEBIDAS Y TABACO.",,,,,
ciiu_167,pe_ciiu,51313,VTA. MAY. PRODUCTOS TEXTILES.,,,,,
ciiu_168,pe_ciiu,51395,VTA. MAY. OTROS ENSERES DOMESTICOS.,,,,,
ciiu_169,pe_ciiu,51414,VTA. AL POR MAYOR DE COMBUSTIBLES.,,,,,
ciiu_170,pe_ciiu,51427,VTA. MAY. DE METALES Y MINERALES MET.,,,,,
ciiu_171,pe_ciiu,51430,VTA. MAY. MATERIALES DE CONSTRUCCION.,,,,,
ciiu_172,pe_ciiu,51496,VTA. MAY. OTROS PRODUCTOS INTERMEDIOS.,,,,,
ciiu_173,pe_ciiu,51502,"VTA. MAY. MAQUINARIA, EQUIPO Y MATER.",,,,,
ciiu_174,pe_ciiu,51906,VTA. MAY. DE OTROS PRODUCTOS.,,,,,
ciiu_175,pe_ciiu,52118,VTA. MIN. EN ALMACENES NO ESPECIALIZ.,,,,,
ciiu_176,pe_ciiu,52190,VTA.  MIN. OTROS PRODUCTOS EN ALMACEN.,,,,,
ciiu_177,pe_ciiu,52206,"VTA.  MIN. ALIMENTOS, BEBIDAS, TABACO.",,,,,
ciiu_178,pe_ciiu,52310,VTA.  MIN. PROD. FARMAC. Y ART. TOCADOR.,,,,,
ciiu_179,pe_ciiu,52322,"VTA. MIN. PRODUCTOS TEXTILES, CALZADO.",,,,,
ciiu_180,pe_ciiu,52335,VTA. MIN. EQUIPO DE USO DOMESTICO.,,,,,
ciiu_181,pe_ciiu,52348,VTA. MIN. ARTICULOS DE FERRETERIA.,,,,,
ciiu_182,pe_ciiu,52391,OTROS TIPOS DE VENTA AL POR MENOR.,,,,,
ciiu_183,pe_ciiu,52408,VTA. MIN. DE ALMACENES DE ART. USADOS.,,,,,
ciiu_184,pe_ciiu,52511,VTA. MIN. DE CASAS DE VENTA POR CORREO.,,,,,
ciiu_185,pe_ciiu,52524,VTA. MIN. EN PUESTOS DE VENTA.,,,,,
